id,version,:START_ID,:END_ID,rank,value,:TYPE
17782,0,17780,17774,0,,RELATIONSHIP
17790,0,17788,17786,0,,RELATIONSHIP
17791,0,17786,17784,0,,RELATIONSHIP
17794,0,17792,17786,0,,RELATIONSHIP
17802,0,17800,17798,0,,RELATIONSHIP
17803,0,17798,17796,0,,RELATIONSHIP
17811,0,17809,17807,0,,RELATIONSHIP
17812,0,17807,17805,0,,RELATIONSHIP
17820,0,17818,17816,0,,RELATIONSHIP
17821,0,17816,17814,0,,RELATIONSHIP
17829,0,17827,17825,0,,RELATIONSHIP
17830,0,17825,17823,0,,RELATIONSHIP
17838,0,17836,17834,0,,RELATIONSHIP
17839,0,17834,17832,0,,RELATIONSHIP
17847,0,17845,17843,0,,RELATIONSHIP
17848,0,17843,17841,0,,RELATIONSHIP
17851,0,17849,17843,0,,RELATIONSHIP
17860,0,17858,17856,0,,RELATIONSHIP
17863,0,17861,17856,0,,RELATIONSHIP
17866,0,17864,17856,0,,RELATIONSHIP
17869,0,17867,17856,0,,RELATIONSHIP
17872,0,17870,17856,0,,RELATIONSHIP
17875,0,17873,17856,0,,RELATIONSHIP
17878,0,17876,17856,0,,RELATIONSHIP
17881,0,17879,17856,0,,RELATIONSHIP
17882,0,17856,17854,0,,RELATIONSHIP
17888,0,17886,17884,0,,RELATIONSHIP
17891,0,17889,17884,0,,RELATIONSHIP
17894,0,17892,17884,0,,RELATIONSHIP
17897,0,17895,17884,0,,RELATIONSHIP
17900,0,17898,17884,0,,RELATIONSHIP
17903,0,17901,17884,0,,RELATIONSHIP
17906,0,17904,17884,0,,RELATIONSHIP
17909,0,17907,17884,0,,RELATIONSHIP
17910,0,17884,17854,0,,RELATIONSHIP
17939,0,17937,17935,0,,RELATIONSHIP
17942,0,17940,17935,0,,RELATIONSHIP
17945,0,17943,17935,0,,RELATIONSHIP
17948,0,17946,17935,0,,RELATIONSHIP
17951,0,17949,17935,0,,RELATIONSHIP
17954,0,17952,17935,0,,RELATIONSHIP
17957,0,17955,17935,0,,RELATIONSHIP
17960,0,17958,17935,0,,RELATIONSHIP
17963,0,17961,17935,0,,RELATIONSHIP
17966,0,17964,17935,0,,RELATIONSHIP
17969,0,17967,17935,0,,RELATIONSHIP
17972,0,17970,17935,0,,RELATIONSHIP
17975,0,17973,17935,0,,RELATIONSHIP
17978,0,17976,17935,0,,RELATIONSHIP
17981,0,17979,17935,0,,RELATIONSHIP
17984,0,17982,17935,0,,RELATIONSHIP
17987,0,17985,17935,0,,RELATIONSHIP
17990,0,17988,17935,0,,RELATIONSHIP
17993,0,17991,17935,0,,RELATIONSHIP
